☑️,ID,Parent ID,Уровень,Путь в иерархии,Название категории,URL,Товаров,В наличии,SEO статус,AI статус,Обновлено,Админка
false,9069711,,0,Каталог,Каталог,/collection/katalog,4629,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9069711
false,49965425,9069711,1,Каталог > ТЕСТ подкатегория,  └─ ТЕСТ подкатегория,/collection/test-podkategoriya,0,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/49965425
false,49965905,49965425,2,Каталог > ТЕСТ подкатегория > Новые лорнеты,    └─ Новые лорнеты,/collection/novye-lornety,0,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/49965905
false,49965577,9069711,1,Каталог > лорнет,  └─ лорнет,/collection/lornet,0,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/49965577
false,12050915,9069711,1,Каталог > Товары на маркетплейс,  └─ Товары на маркетплейс,/collection/gifts,1,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/12050915
false,9175197,9069711,1,Каталог > Бинокли,  └─ Бинокли,/collection/binokli,1010,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9175197
false,9071617,9175197,2,Каталог > Бинокли > Для охоты,    └─ Для охоты,/collection/ohota-i-rybalka,854,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/9071617
false,30043413,9071617,1,Каталог > Бинокли > Для охоты > Бинокли для ходовой охоты,  └─ Бинокли для ходовой охоты,/collection/binokli-dlya-hodovoy-ohoty,68,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/30043413
false,30043415,9071617,1,Каталог > Бинокли > Для охоты > Бинокли для горной охоты,  └─ Бинокли для горной охоты,/collection/binokli-dlya-gornoy-ohoty,47,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/30043415
false,21337133,9071617,1,Каталог > Бинокли > Для охоты > Бинокли ночного видения для охоты,  └─ Бинокли ночного видения для охоты,/collection/binokli-nochnogo-videniya-dlya-ohoty,27,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21337133
